Date,Day of Week,Time_(h),Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
2020-10-14,Wednesday,2,Visa,PIN,19,ATM,Restaurant,United Kingdom,India,United Kingdom,M,51.4,Barclays,True
2020-10-14,Wednesday,3,Visa,PIN,95,POS,Electronics,Russia,Russia,United Kingdom,M,55.8,Halifax,True
2020-10-14,Wednesday,2,Visa,CVC,341,Online,Children,United Kingdom,China,United Kingdom,F,51.9,HSBC,True
2020-10-14,Wednesday,4,Visa,CVC,24,Online,Restaurant,USA,USA,United Kingdom,F,39.9,Barclays,True
2020-10-13,Tuesday,0,Visa,CVC,17,Online,Fashion,USA,USA,United Kingdom,F,47.7,Barlcays,True
2020-10-14,Wednesday,23,MasterCard,PIN,10,ATM,Fashion,Russia,Russia,United Kingdom,F,56.5,Barclays,True
2020-10-13,Tuesday,10,Visa,Tap,17,POS,Children,United Kingdom,China,United Kingdom,M,45.0,Barclays,True
2020-10-13,Tuesday,3,Visa,PIN,17,ATM,Children,USA,United Kingdom,USA,M,37.9,Barclays,True
2020-10-13,Tuesday,5,Visa,Tap,28,POS,Entertainment,India,India,United Kingdom,F,33.6,Lloyds,True
2020-10-13,Tuesday,22,Visa,PIN,13,ATM,Fashion,India,India,United Kingdom,F,49.7,Barlcays,True
2020-10-14,Wednesday,18,MasterCard,Tap,16,POS,Food,Russia,Russia,United Kingdom,M,52.1,HSBC,True
2020-10-13,Tuesday,18,MasterCard,PIN,60,ATM,Fashion,Russia,Russia,United Kingdom,M,61.7,Barclays,True
2020-10-13,Tuesday,3,MasterCard,CVC,251,Online,Children,China,China,United Kingdom,F,43.0,Monzo,True
2020-10-14,Wednesday,23,Visa,PIN,6,ATM,Gaming,USA,USA,United Kingdom,M,60.7,Halifax,True
2020-10-14,Wednesday,19,Visa,Tap,17,POS,Products,USA,USA,United Kingdom,M,48.8,Monzo,True
2020-10-14,Wednesday,8,Visa,CVC,294,Online,Children,USA,USA,United Kingdom,F,52.6,Lloyds,True
2020-10-14,Wednesday,16,MasterCard,PIN,11,ATM,Fashion,India,United Kingdom,India,M,39.3,Metro,True
2020-10-14,Wednesday,3,Visa,CVC,24,Online,Subscription,Russia,Russia,United Kingdom,F,55.4,Halifax,True
2020-10-14,Wednesday,3,MasterCard,Tap,21,POS,Restaurant,India,India,United Kingdom,M,44.3,Halifax,True
2020-10-13,Tuesday,6,Visa,PIN,13,ATM,Products,India,India,United Kingdom,M,42.0,Halifax,True
2020-10-14,Wednesday,4,MasterCard,CVC,17,Online,Entertainment,Russia,Russia,United Kingdom,F,48.5,Metro,True
2020-10-14,Wednesday,10,MasterCard,CVC,12,Online,Services,China,China,United Kingdom,M,33.2,Barclays,True
2020-10-13,Tuesday,13,MasterCard,PIN,5,ATM,Children,Russia,Russia,United Kingdom,M,22.1,Halifax,True
2020-10-14,Wednesday,1,Visa,CVC,6,Online,Services,China,China,United Kingdom,F,49.3,Lloyds,True
2020-10-14,Wednesday,14,Visa,CVC,9,Online,Products,USA,USA,United Kingdom,M,37.6,Lloyds,True
2020-10-14,Wednesday,5,Visa,PIN,17,ATM,Gaming,China,China,United Kingdom,M,46.6,Metro,True
2020-10-14,Wednesday,18,Visa,PIN,21,ATM,Gaming,USA,USA,United Kingdom,M,56.4,Metro,True
2020-10-13,Tuesday,13,Visa,PIN,20,ATM,Restaurant,United Kingdom,China,United Kingdom,M,25.7,Barclays,True
2020-10-13,Tuesday,9,Visa,Tap,22,POS,Food,China,China,United Kingdom,F,37.5,Metro,True
2020-10-13,Tuesday,2,MasterCard,CVC,8,Online,Gaming,United Kingdom,Russia,United Kingdom,M,48.4,Barclays,True
2020-10-13,Tuesday,6,Visa,Tap,19,POS,Electronics,China,China,United Kingdom,M,30.9,Barclays,True
2020-10-13,Tuesday,6,Visa,PIN,17,ATM,Fashion,China,China,United Kingdom,M,40.9,Metro,True
2020-10-13,Tuesday,20,Visa,PIN,48,POS,Electronics,India,India,United Kingdom,M,47.8,Barclays,True
2020-10-14,Wednesday,20,MasterCard,Tap,20,POS,Fashion,Russia,Russia,United Kingdom,F,50.7,Barclays,True
2020-10-13,Tuesday,20,Visa,CVC,16,Online,Electronics,Russia,Russia,United Kingdom,M,45.5,Halifax,True
2020-10-14,Wednesday,12,Visa,CVC,182,Online,Fashion,India,India,United Kingdom,M,43.3,Metro,True
2020-10-14,Wednesday,16,Visa,CVC,25,Online,Services,United Kingdom,USA,United Kingdom,M,52.3,Barclays,True
2020-10-13,Tuesday,6,MasterCard,PIN,20,ATM,Electronics,Russia,Russia,United Kingdom,F,60.0,Barclays,True
2020-10-14,Wednesday,21,Visa,CVC,30,Online,Children,China,China,United Kingdom,M,41.8,Lloyds,True
2020-10-13,Tuesday,5,MasterCard,CVC,14,Online,Children,United Kingdom,USA,United Kingdom,M,37.1,Lloyds,True
2020-10-13,Tuesday,18,Visa,CVC,10,Online,Services,United Kingdom,USA,United Kingdom,M,24.7,Monzo,True
2020-10-13,Tuesday,20,Visa,Tap,7,POS,Products,United Kingdom,USA,United Kingdom,M,49.8,Barclays,True
2020-10-13,Tuesday,13,Visa,Tap,26,POS,Restaurant,India,India,United Kingdom,M,42.5,Lloyds,True
2020-10-13,Tuesday,6,Visa,Tap,27,POS,Children,China,China,United Kingdom,M,43.5,HSBC,True
2020-10-13,Tuesday,2,Visa,Tap,15,POS,Gaming,Russia,Russia,United Kingdom,M,43.4,Metro,True
2020-10-13,Tuesday,22,Visa,CVC,19,Online,Subscription,USA,USA,United Kingdom,M,51.8,Barclays,True
2020-10-14,Wednesday,20,Visa,PIN,29,ATM,Entertainment,India,India,United Kingdom,M,58.8,RBS,True
2020-10-14,Wednesday,13,MasterCard,Tap,15,POS,Gaming,USA,USA,United Kingdom,F,29.7,RBS,True
2020-10-13,Tuesday,6,Visa,Tap,17,POS,Restaurant,China,China,United Kingdom,F,40.9,Barclays,True
2020-10-14,Wednesday,11,Visa,Tap,16,POS,Children,India,India,United Kingdom,F,37.8,Halifax,True
2020-10-14,Wednesday,20,MasterCard,CVC,9,Online,Products,India,India,United Kingdom,F,44.1,Lloyds,True
2020-10-13,Tuesday,0,MasterCard,Tap,25,POS,Electronics,Russia,Russia,United Kingdom,F,52.7,Metro,True
2020-10-13,Tuesday,6,MasterCard,Tap,27,POS,Children,China,China,United Kingdom,F,40.0,Barclays,True
2020-10-14,Wednesday,5,Visa,CVC,21,Online,Restaurant,China,China,United Kingdom,F,61.0,Barclays,True
2020-10-13,Tuesday,19,Visa,PIN,373,ATM,Fashion,India,India,United Kingdom,F,54.4,Lloyds,True
2020-10-14,Wednesday,0,Visa,CVC,16,Online,Food,India,India,United Kingdom,M,50.7,Barclays,True
2020-10-14,Wednesday,0,MasterCard,CVC,124,Online,Children,China,China,United Kingdom,F,35.3,Halifax,True
2020-10-13,Tuesday,5,Visa,CVC,9,Online,Fashion,Russia,Russia,United Kingdom,M,44.0,RBS,True
2020-10-13,Tuesday,2,Visa,Tap,5,POS,Children,India,India,United Kingdom,M,39.4,Barlcays,True
2020-10-13,Tuesday,11,Visa,Tap,13,POS,Services,China,China,United Kingdom,F,61.9,Lloyds,True
2020-10-13,Tuesday,6,Visa,CVC,22,Online,Gaming,United Kingdom,India,United Kingdom,M,53.1,Lloyds,True
2020-10-13,Tuesday,3,MasterCard,CVC,20,Online,Products,India,India,United Kingdom,F,41.6,Metro,True
2020-10-13,Tuesday,22,MasterCard,CVC,26,Online,Children,India,India,United Kingdom,F,50.2,Barlcays,True
2020-10-14,Wednesday,2,MasterCard,Tap,14,POS,Food,Russia,Russia,United Kingdom,M,41.7,Lloyds,True
2020-10-14,Wednesday,13,MasterCard,PIN,30,ATM,Electronics,India,India,United Kingdom,F,51.2,Barlcays,True
2020-10-13,Tuesday,0,Visa,PIN,20,ATM,Subscription,Russia,Russia,United Kingdom,F,57.7,Metro,True
2020-10-13,Tuesday,0,MasterCard,Tap,15,POS,Fashion,Russia,Russia,United Kingdom,M,63.9,Metro,True
2020-10-14,Wednesday,4,Visa,PIN,94,POS,Children,China,China,United Kingdom,M,53.6,Monzo,True
2020-10-14,Wednesday,0,MasterCard,CVC,16,Online,Services,India,India,United Kingdom,M,54.4,Barclays,True
2020-10-14,Wednesday,5,MasterCard,CVC,25,Online,Subscription,United Kingdom,India,United Kingdom,M,39.0,HSBC,True
2020-10-13,Tuesday,19,Visa,PIN,28,ATM,Restaurant,China,China,United Kingdom,M,53.6,HSBC,True
2020-10-14,Wednesday,2,Visa,Tap,12,POS,Food,USA,USA,United Kingdom,F,44.6,Metro,True
2020-10-13,Tuesday,12,Visa,CVC,336,Online,Fashion,China,China,United Kingdom,M,48.4,Barlcays,True
2020-10-14,Wednesday,0,Visa,PIN,392,POS,Products,USA,USA,United Kingdom,M,56.5,Barclays,True
2020-10-14,Wednesday,6,Visa,Tap,10,POS,Children,China,China,United Kingdom,M,25.7,Barclays,True
2020-10-13,Tuesday,4,MasterCard,PIN,22,ATM,Subscription,USA,USA,United Kingdom,M,40.8,HSBC,True
2020-10-13,Tuesday,23,Visa,PIN,10,ATM,Fashion,India,India,United Kingdom,M,44.4,Lloyds,True
2020-10-13,Tuesday,8,Visa,Tap,27,POS,Subscription,USA,USA,United Kingdom,F,52.2,Barclays,True
2020-10-14,Wednesday,7,Visa,CVC,17,Online,Children,United Kingdom,China,United Kingdom,M,56.2,Metro,True
2020-10-13,Tuesday,12,Visa,CVC,29,Online,Products,United Kingdom,USA,United Kingdom,F,38.9,HSBC,True
2020-10-13,Tuesday,23,MasterCard,CVC,12,Online,Restaurant,India,India,United Kingdom,M,53.3,Barclays,True
2020-10-13,Tuesday,2,MasterCard,Tap,26,POS,Fashion,India,India,United Kingdom,M,48.2,Halifax,True
2020-10-13,Tuesday,18,MasterCard,CVC,16,Online,Fashion,India,India,United Kingdom,F,37.5,HSBC,True
2020-10-14,Wednesday,6,Visa,Tap,9,POS,Children,United Kingdom,USA,United Kingdom,M,69.8,Barclays,True
2020-10-14,Wednesday,1,Visa,PIN,18,ATM,Children,China,China,United Kingdom,M,45.0,Metro,True
2020-10-14,Wednesday,17,MasterCard,Tap,8,POS,Children,USA,USA,United Kingdom,F,47.1,HSBC,True
2020-10-13,Tuesday,0,MasterCard,PIN,17,ATM,Entertainment,China,China,United Kingdom,M,51.6,Lloyds,True
2020-10-13,Tuesday,21,Visa,PIN,383,ATM,Children,India,India,United Kingdom,M,42.0,RBS,True
2020-10-14,Wednesday,18,Visa,Tap,23,POS,Products,Russia,Russia,United Kingdom,F,34.1,Lloyds,True
2020-10-14,Wednesday,3,MasterCard,CVC,13,Online,Children,Russia,Russia,United Kingdom,F,68.3,Lloyds,True
2020-10-14,Wednesday,4,Visa,Tap,11,POS,Electronics,United Kingdom,India,United Kingdom,M,41.8,HSBC,True
2020-10-13,Tuesday,3,Visa,PIN,23,ATM,Subscription,India,India,United Kingdom,M,42.9,Barclays,True
2020-10-13,Tuesday,22,MasterCard,CVC,21,Online,Children,China,China,United Kingdom,M,37.2,Lloyds,True
2020-10-13,Tuesday,21,Visa,PIN,360,ATM,Products,China,China,United Kingdom,F,37.0,Barclays,True
2020-10-13,Tuesday,5,Visa,PIN,129,POS,Electronics,USA,USA,United Kingdom,M,43.0,Barlcays,True
2020-10-14,Wednesday,2,Visa,Tap,7,POS,Gaming,China,China,United Kingdom,M,31.4,Barclays,True
2020-10-14,Wednesday,2,Visa,CVC,218,Online,Children,China,China,United Kingdom,F,37.2,Barclays,True
2020-10-13,Tuesday,2,MasterCard,Tap,22,POS,Fashion,India,India,United Kingdom,M,41.6,Barclays,True
2020-10-13,Tuesday,6,Visa,CVC,260,Online,Fashion,China,China,United Kingdom,M,31.9,Barclays,True
2020-10-13,Tuesday,11,Visa,CVC,28,Online,Restaurant,China,China,United Kingdom,F,50.9,HSBC,True
2020-10-13,Tuesday,13,Visa,CVC,9,Online,Products,India,India,United Kingdom,M,28.8,Barclays,True
2020-10-14,Wednesday,4,MasterCard,Tap,14,POS,Fashion,Russia,Russia,United Kingdom,M,63.8,Barclays,True
2020-10-14,Wednesday,7,Visa,CVC,27,Online,Electronics,India,India,United Kingdom,M,33.2,Metro,True
2020-10-14,Wednesday,5,MasterCard,CVC,30,Online,Gaming,India,India,United Kingdom,M,41.7,Monzo,True
2020-10-13,Tuesday,5,Visa,CVC,16,Online,Gaming,India,India,United Kingdom,M,37.1,Barlcays,True
2020-10-13,Tuesday,18,Visa,CVC,17,Online,Products,United Kingdom,Russia,United Kingdom,M,30.3,Barclays,True
2020-10-14,Wednesday,16,Visa,CVC,18,Online,Electronics,India,India,United Kingdom,F,56.1,Metro,True
2020-10-13,Tuesday,3,MasterCard,CVC,16,Online,Gaming,China,China,United Kingdom,M,33.7,Barclays,True
2020-10-13,Tuesday,22,Visa,CVC,9,Online,Subscription,India,India,United Kingdom,M,55.1,Barclays,True
2020-10-13,Tuesday,14,Visa,CVC,16,Online,Electronics,United Kingdom,China,United Kingdom,M,51.7,HSBC,True
2020-10-13,Tuesday,8,Visa,Tap,12,POS,Products,USA,USA,United Kingdom,M,38.5,Lloyds,True
2020-10-14,Wednesday,6,MasterCard,CVC,23,Online,Products,Russia,Russia,United Kingdom,F,48.1,HSBC,True
2020-10-13,Tuesday,14,Visa,PIN,27,ATM,Children,USA,USA,United Kingdom,M,57.0,Lloyds,True
2020-10-14,Wednesday,13,MasterCard,Tap,23,POS,Products,USA,USA,United Kingdom,M,37.7,Barclays,True
2020-10-13,Tuesday,2,Visa,CVC,27,Online,Gaming,United Kingdom,USA,United Kingdom,M,44.1,Halifax,True
2020-10-13,Tuesday,6,Visa,CVC,28,Online,Food,Russia,Russia,United Kingdom,F,57.0,Lloyds,True
2020-10-14,Wednesday,2,Visa,PIN,24,ATM,Fashion,United Kingdom,Russia,United Kingdom,M,58.0,Barclays,True
2020-10-13,Tuesday,16,Visa,PIN,16,ATM,Subscription,United Kingdom,USA,United Kingdom,M,55.8,Metro,True
2020-10-13,Tuesday,10,MasterCard,PIN,313,POS,Entertainment,India,India,United Kingdom,M,36.7,Barclays,True
2020-10-13,Tuesday,1,Visa,Tap,8,POS,Electronics,Russia,Russia,United Kingdom,M,60.1,Barclays,True
2020-10-13,Tuesday,11,Visa,PIN,27,ATM,Fashion,India,India,United Kingdom,M,69.2,Barclays,True
2020-10-13,Tuesday,19,Visa,PIN,381,POS,Electronics,United Kingdom,Russia,United Kingdom,M,45.0,Lloyds,True
2020-10-13,Tuesday,3,MasterCard,Tap,12,POS,Fashion,USA,USA,United Kingdom,M,62.4,Barclays,True
2020-10-13,Tuesday,13,Visa,Tap,15,POS,Entertainment,Russia,Russia,United Kingdom,F,49.7,Barlcays,True
2020-10-14,Wednesday,0,Visa,Tap,14,POS,Restaurant,India,India,United Kingdom,M,43.6,HSBC,True
2020-10-13,Tuesday,8,Visa,PIN,368,ATM,Electronics,India,India,United Kingdom,F,25.7,Barlcays,True
2020-10-14,Wednesday,15,MasterCard,PIN,28,ATM,Fashion,China,China,United Kingdom,M,35.7,HSBC,True
2020-10-14,Wednesday,5,Visa,Tap,26,POS,Restaurant,Russia,Russia,United Kingdom,F,50.0,Monzo,True
2020-10-14,Wednesday,13,Visa,Tap,8,POS,Entertainment,China,China,United Kingdom,M,40.3,Barlcays,True
2020-10-13,Tuesday,17,MasterCard,Tap,17,POS,Fashion,India,India,United Kingdom,M,33.5,Lloyds,True
2020-10-14,Wednesday,1,MasterCard,CVC,28,Online,Children,India,India,United Kingdom,M,36.9,Barlcays,True
2020-10-14,Wednesday,22,Visa,CVC,386,Online,Entertainment,USA,USA,United Kingdom,M,21.2,Metro,True
2020-10-14,Wednesday,3,Visa,CVC,30,Online,Electronics,China,China,United Kingdom,M,47.5,Barlcays,True
2020-10-14,Wednesday,17,MasterCard,Tap,13,POS,Food,China,China,United Kingdom,M,37.3,Monzo,True
2020-10-14,Wednesday,6,Visa,PIN,40,POS,Fashion,USA,USA,United Kingdom,F,50.6,Monzo,True
2020-10-13,Tuesday,10,Visa,CVC,30,Online,Children,United Kingdom,Russia,United Kingdom,M,35.9,Barclays,True
2020-10-14,Wednesday,13,MasterCard,CVC,9,Online,Restaurant,China,China,United Kingdom,M,58.1,Barlcays,True
2020-10-13,Tuesday,3,MasterCard,PIN,361,ATM,Services,China,China,United Kingdom,M,40.1,Monzo,True
2020-10-14,Wednesday,11,MasterCard,CVC,177,Online,Electronics,USA,USA,United Kingdom,M,58.5,Barclays,True
2020-10-13,Tuesday,2,Visa,PIN,21,ATM,Children,United Kingdom,USA,United Kingdom,M,49.8,HSBC,True
2020-10-14,Wednesday,6,Visa,CVC,18,Online,Subscription,Russia,Russia,United Kingdom,M,40.2,RBS,True
2020-10-14,Wednesday,13,Visa,Tap,28,POS,Fashion,Russia,Russia,United Kingdom,F,52.5,Barclays,True
2020-10-14,Wednesday,14,MasterCard,CVC,17,Online,Fashion,India,India,United Kingdom,M,35.0,Barclays,True
2020-10-14,Wednesday,22,Visa,CVC,22,Online,Children,USA,United Kingdom,USA,F,53.1,RBS,True
2020-10-14,Wednesday,11,MasterCard,CVC,18,Online,Electronics,United Kingdom,USA,United Kingdom,F,48.4,Metro,True
2020-10-14,Wednesday,23,MasterCard,PIN,22,ATM,Restaurant,India,India,United Kingdom,M,41.5,Halifax,True
2020-10-13,Tuesday,21,MasterCard,PIN,354,ATM,Restaurant,USA,USA,United Kingdom,F,45.3,HSBC,True
2020-10-13,Tuesday,6,MasterCard,CVC,27,Online,Gaming,India,India,United Kingdom,F,33.4,RBS,True
2020-10-14,Wednesday,13,Visa,PIN,318,POS,Children,China,China,United Kingdom,M,30.2,Barclays,True
2020-10-13,Tuesday,5,MasterCard,PIN,245,POS,Children,USA,USA,United Kingdom,F,46.1,Monzo,True
2020-10-14,Wednesday,3,Visa,PIN,13,ATM,Fashion,United Kingdom,India,United Kingdom,F,36.1,RBS,True
2020-10-13,Tuesday,5,MasterCard,CVC,12,Online,Services,United Kingdom,China,United Kingdom,F,57.1,Lloyds,True
2020-10-13,Tuesday,2,MasterCard,CVC,134,Online,Fashion,China,China,United Kingdom,M,48.3,Barclays,True
2020-10-14,Wednesday,17,Visa,Tap,23,POS,Services,India,India,United Kingdom,M,52.4,Halifax,True
2020-10-13,Tuesday,19,Visa,Tap,22,POS,Entertainment,USA,USA,United Kingdom,F,49.8,Halifax,True
2020-10-13,Tuesday,7,Visa,CVC,350,Online,Gaming,India,India,United Kingdom,M,43.3,Metro,True
2020-10-13,Tuesday,8,Visa,PIN,226,POS,Entertainment,China,China,United Kingdom,F,40.5,RBS,True
2020-10-13,Tuesday,4,Visa,PIN,7,ATM,Entertainment,India,India,United Kingdom,M,42.0,Halifax,True
2020-10-13,Tuesday,16,MasterCard,Tap,19,POS,Children,USA,USA,United Kingdom,M,35.7,Lloyds,True
2020-10-13,Tuesday,16,Visa,CVC,218,Online,Electronics,India,India,United Kingdom,F,26.0,Monzo,True
2020-10-13,Tuesday,1,Visa,Tap,11,POS,Services,USA,USA,United Kingdom,F,42.0,Barclays,True
2020-10-13,Tuesday,6,Visa,PIN,10,ATM,Entertainment,USA,USA,United Kingdom,M,57.7,Barclays,True
2020-10-14,Wednesday,13,Visa,Tap,21,POS,Gaming,China,China,United Kingdom,M,51.8,HSBC,True
2020-10-13,Tuesday,13,Visa,CVC,25,Online,Electronics,Russia,Russia,United Kingdom,F,28.7,Barclays,True
2020-10-14,Wednesday,13,Visa,CVC,98,Online,Electronics,Russia,Russia,United Kingdom,F,61.9,Barclays,True
